Time,Object Name,Status,Value,Units,Alert ID,Priority
18.03.2023 9:21:07,TIC Turbo Power,,5.4,,0,0
18.03.2023 9:21:07,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:07,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:09,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:09,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:09,TIC Turbo Power,,4.7,,0,0
18.03.2023 9:21:09,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:09,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:11,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:11,TIC Turbo Power,,6.8,,0,0
18.03.2023 9:21:11,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:11,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:11,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:13,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:13,TIC Turbo Power,,7.5,,0,0
18.03.2023 9:21:13,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:13,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:13,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:15,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:15,TIC Turbo Power,,6.1,,0,0
18.03.2023 9:21:15,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:15,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:15,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:17,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:17,TIC Turbo Power,,7.3,,0,0
18.03.2023 9:21:17,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:17,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:17,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:19,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:19,TIC Turbo Power,,6.1,,0,0
18.03.2023 9:21:19,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:19,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:19,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:21,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:21,TIC Turbo Power,,6.1,,0,0
18.03.2023 9:21:21,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:21,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:21,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:23,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:23,TIC Turbo Power,,7.0,,0,0
18.03.2023 9:21:23,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:23,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:23,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:25,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:25,TIC Turbo Power,,7.5,,0,0
18.03.2023 9:21:25,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:25,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:25,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:27,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:27,TIC Turbo Power,,6.1,,0,0
18.03.2023 9:21:27,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:27,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:27,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:29,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:29,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:29,TIC Turbo Power,,7.0,,0,0
18.03.2023 9:21:29,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:29,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:31,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:31,TIC Turbo Power,,8.0,,0,0
18.03.2023 9:21:31,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:31,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:32,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:33,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:33,TIC Turbo Power,,6.1,,0,0
18.03.2023 9:21:33,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:33,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:34,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:35,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:35,TIC Turbo Power,,6.1,,0,0
18.03.2023 9:21:35,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:35,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:36,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:37,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:37,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:37,TIC Turbo Power,,7.5,,0,0
18.03.2023 9:21:37,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:38,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:39,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:39,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:39,TIC Turbo Power,,6.8,,0,0
18.03.2023 9:21:40,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:40,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:42,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:42,TIC Turbo Power,,7.0,,0,0
18.03.2023 9:21:42,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:42,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:42,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:44,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:44,TIC Turbo Power,,7.5,,0,0
18.03.2023 9:21:44,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:44,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:44,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:46,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:46,TIC Turbo Power,,6.1,,0,0
18.03.2023 9:21:46,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:46,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:46,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:48,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:48,TIC Turbo Power,,6.8,,0,0
18.03.2023 9:21:48,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:48,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:48,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:50,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:50,TIC Turbo Power,,6.1,,0,0
18.03.2023 9:21:50,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:50,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:50,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:52,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:52,TIC Turbo Power,,6.5,,0,0
18.03.2023 9:21:52,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:52,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:52,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:54,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:54,TIC Turbo Power,,5.4,,0,0
18.03.2023 9:21:54,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:54,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:54,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:56,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:56,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:56,TIC Turbo Power,,7.3,,0,0
18.03.2023 9:21:56,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:56,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:58,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:58,TIC Turbo Power,,6.1,,0,0
