Time,Object Name,Status,Value,Units,Alert ID,Priority
20.03.2023 9:26:36,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:36,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:36,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:38,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:38,TIC Turbo Power,,5.8,,0,0
20.03.2023 9:26:38,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:38,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:38,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:40,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:40,TIC Turbo Power,,8.0,,0,0
20.03.2023 9:26:40,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:40,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:40,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:42,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:42,TIC Turbo Power,,8.0,,0,0
20.03.2023 9:26:42,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:42,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:42,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:44,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:44,TIC Turbo Power,,6.1,,0,0
20.03.2023 9:26:44,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:44,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:44,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:46,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:46,TIC Turbo Power,,8.2,,0,0
20.03.2023 9:26:46,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:46,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:46,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:48,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:48,TIC Turbo Power,,8.2,,0,0
20.03.2023 9:26:48,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:48,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:48,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:50,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:50,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:50,TIC Turbo Power,,6.5,,0,0
20.03.2023 9:26:50,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:50,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:52,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:52,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:52,TIC Turbo Power,,6.5,,0,0
20.03.2023 9:26:52,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:53,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:54,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:54,TIC Turbo Power,,6.1,,0,0
20.03.2023 9:26:54,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:55,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:55,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:56,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:56,TIC Turbo Power,,6.1,,0,0
20.03.2023 9:26:57,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:57,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:57,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:58,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:58,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:59,TIC Turbo Power,,8.2,,0,0
20.03.2023 9:26:59,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:59,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:01,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:01,TIC Turbo Power,,7.3,,0,0
20.03.2023 9:27:01,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:01,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:01,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:03,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:03,TIC Turbo Power,,8.2,,0,0
20.03.2023 9:27:03,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:03,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:03,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:05,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:05,TIC Turbo Power,,6.1,,0,0
20.03.2023 9:27:05,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:05,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:05,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:07,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:07,TIC Turbo Power,,7.5,,0,0
20.03.2023 9:27:07,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:07,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:07,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:09,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:09,TIC Turbo Power,,8.0,,0,0
20.03.2023 9:27:09,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:09,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:09,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:11,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:11,TIC Turbo Power,,7.3,,0,0
20.03.2023 9:27:11,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:11,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:11,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:13,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:13,TIC Turbo Power,,7.5,,0,0
20.03.2023 9:27:13,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:13,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:13,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:15,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:15,TIC Turbo Power,,6.1,,0,0
20.03.2023 9:27:15,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:15,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:15,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:17,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:17,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:17,TIC Turbo Power,,8.2,,0,0
20.03.2023 9:27:17,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:17,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:19,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:19,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:19,TIC Turbo Power,,6.1,,0,0
20.03.2023 9:27:19,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:19,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:21,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:21,TIC Turbo Power,,8.0,,0,0
20.03.2023 9:27:21,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:21,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:21,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:23,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:23,TIC Turbo Power,,6.3,,0,0
20.03.2023 9:27:23,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:23,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:23,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:25,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:25,TIC Turbo Power,,8.7,,0,0
20.03.2023 9:27:25,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:25,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:25,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:27,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:27,TIC Turbo Power,,8.9,,0,0
20.03.2023 9:27:27,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:27,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:28,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:29,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:29,TIC Turbo Power,,6.1,,0,0
20.03.2023 9:27:29,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:27:30,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:27:30,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:27:31,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:27:31,TIC Turbo Power,,7.3,,0,0
